transaction_id,items
1,"laptop,mouse,headphones"
2,"phone,charger,case"
3,"laptop,headphones"
4,"tablet,stylus"
5,"phone,earbuds,screen_protector"
6,"laptop,mouse,keyboard"
7,"headphones,charger"
8,"smartwatch,charger"
9,"laptop,mouse_pad"
10,"phone,case,screen_protector"
11,"tablet,keyboard,case"
12,"headphones,adapter"
13,"laptop,cooling_pad"
14,"phone,headphones"
15,"mouse,keyboard"
16,"laptop,bag"
17,"phone,tempered_glass"
18,"headphones,case"
19,"tablet,cover"
20,"laptop,mouse,headphones,charger"
