transaction_id,items
1,"tv,soundbar,hdmi_cable"
2,"gaming_console,controller,game"
3,"camera,memory_card,tripod"
4,"tv,wall_mount"
5,"gaming_console,headset"
6,"laptop,case,mouse"
7,"printer,ink,paper"
8,"phone,screen_protector"
9,"tv,streaming_device"
10,"camera,lens,bag"
11,"gaming_console,extra_controller"
12,"headphones,adapter"
13,"monitor,stand"
14,"router,ethernet_cable"
15,"smart_home,hub"
16,"tablet,keyboard"
17,"speaker,audio_cable"
18,"drone,battery"
19,"fitness_tracker,band"
20,"tv,soundbar,gaming_console"
