transaction_id,items
1,"bananas,apples,oranges"
2,"chicken,broccoli,rice"
3,"ground_beef,pasta,tomato_sauce"
4,"salmon,asparagus,lemon"
5,"eggs,bacon,bread"
6,"yogurt,berries,granola"
7,"pizza,soda,salad"
8,"cheese,crackers,wine"
9,"ice_cream,cones,sprinkles"
10,"sandwich_bread,deli_meat,cheese"
11,"tortillas,salsa,avocado"
12,"cereal,milk,bananas"
13,"pancake_mix,syrup,butter"
14,"coffee,cream,sugar"
15,"soup,bread_rolls"
16,"frozen_vegetables,stir_fry_sauce"
17,"cookies,milk"
18,"juice,muffins"
19,"chips,dip,soda"
20,"lettuce,tomato,cucumber,salad_dressing"
