transaction_id,items
1,"bread,milk,eggs"
2,"shampoo,conditioner,soap"
3,"cereal,milk"
4,"paper_towels,toilet_paper"
5,"laundry_detergent,fabric_softener"
6,"chips,soda,dip"
7,"toothpaste,toothbrush"
8,"pasta,pasta_sauce"
9,"cleaning_supplies,sponges"
10,"frozen_pizza,ice_cream"
11,"batteries,lightbulbs"
12,"cookies,juice"
13,"rice,beans"
14,"deodorant,body_wash"
15,"canned_soup,crackers"
16,"coffee,cream"
17,"trash_bags,ziploc_bags"
18,"yogurt,granola"
19,"butter,jam"
20,"bread,peanut_butter,jelly"
